,phrase before,chandler's phrase
2632," y’know you, you just stop being such a wuss and get those off and you come with us and watch naked girls dance around!!", okay. (starts to cry)
2633," (coming back to the stage and sitting next to chandler) okay, i’ve got some ones, you wanna put them in her panties?"," no thanks, mom!"
2634, oh! and don’t let me leave without getting the name of that carpet guy.," ahh, come on! y’know what—y’know what, i think i’m just gonna go home and call kathy."
2635," well, if you think it will help."," no! that was a test! in a couple of hours i’m gonna get really drunk and wanna call kathy and you guys are gonna have to stop me! and then after that, i’m gonna get so drunk, i’m gonna wanna call janice"
2636, you should! how is she?, ohhh!!
2637," so, we did okay at the strip club, right?"," oh yeah, that was great. thanks to you, the hottest cocktail waitress there is quitting to teach the third grade!"
2638," no, i don’t."," all right, well i’m gonna put my sweats back on."
2639," oh no! wait! wait! okay, y’know what, you were right, you were right. we really weren’t great at being guys, but you know why? because we’re girls.  and do you know what girls are really good at?", stripping!
2640," yeah. and y’know, if you wanna cry, that’s okay too."," okay, look, i’m gonna have to ask you all to leave."
2641, come on! chandler!," look, forget it. we tried, but phase three is a lost cause, okay? those strippers were insanely hot, and i couldn’t picture myself with any of them. (sits back in disgust.)"
2642," oh my goodness, she had the smoothest skin! i mean when i stuck that dollar bill in her g-string and grazed her thigh…", (jumping up) phase three! i just achieved phase three!  i am totally picturing you with all those women!
2643, that’s-that’s not phase three.," well, i’m there too!"
2644," well, are we all together? like in a group?", stop it! you’re killing me! i think i just moved on to phase four!
2645, oh! what is that? what is that?," where i don’t want to have a relationship ever! i just want to have sex with strippers and my friends!!  come on, let me see that smile."
2646, i don’t wanna., please?
2647, i wanted to go to the strip club!," i know, i know, but you’re gonna have plenty of chances. there are literally thousands of women out there just waiting to screw me over."
2648," no, happy for you! (hits him harder.)"," all right ladies, here’s what we’re gonna do. (points to a stripper.) you are gonna take off my clothes. (to another two strippers) you two, go get the oils. (to another stripper) and you just constantly scream at the top of your voice, ""chandler’s the king! chandler’s the king!"""
2649," i-i wanna be with her, (points to the stripper next to her) i like her."," oh, that’s fine! go with your instincts, go with your instincts."
2650," wait, now, what am i doing again?"," come on! would you please pay attention, i could wake up at any moment!"
2651," no-no-no, that’ not joshua."," what do you want from me, i’ve never met the guy. so anyway, rachel, i’m sorry you can’t stay, (rachel is upset about leaving the orgy with the cigarette guy.) but the rest of us have a lot of work to do. (the cigarette guy starts rubbing chandler’s back.) what are you doing? (the guy just nods) all right, listen, i’ve got to wake up!  y'know, i can't believe i'm getting my nails done!  and you said it was gonna be fun! (pause) which it kinda is.  also, you said there would be other guys here. there are no other guys here!"
2652," chandler, there’s a guy right over there. (points to the counter)", that’s a mailman! that’s our mailman! (waves to the mailman) (sarcastic) hi. how are ya?
2653," chandler, don’t worry! this doesn’t make you any less of a guy! (chandler starts blowing on his fingernails like women do.) that does! (chandler stops blowing.) what am i sitting on? (she looks and finds a huge nail.) i hate to think what this woman was scratching when this broke off."," hey, you know who used to have nails like that?"
2654," okay, good. now that since you know, when you come over would you mind actually using it?"," (entering, with janice in tow) hello!"
2655, janice?!, isn’t this amazing?
2656," i just came up to say, ""hi!"" hi! (to chandler) and you, sweetie, i’ll see you tonight.", okay. bye.
2657, bye.," (entering) hey, what was that all about?"
2658, bye-bye.," bye. (finally closes the door on her.) (after it’s closed) i can’t stand the woman! (phoebe is shocked, joey is relieved.)"
2659, what?! i thought you were crazy about her!," yeah, i know, but all of those little annoying things she did before we fell in love? like her voice, her laugh, her personality—well, they’re all back! y’know? and she’s picked up like nine new ones!"
2660, so what are you doing bringing her here?! there’s people here!, don’t worry about it. i’m taking care of it tonight. (chandler opens the fridge and grabs something to drink.)
2661, you are not. you have never been able to break up with her.," (standing in the door of the fridge) well, i don’t have to break up with her this time. we’re not involved! i’m going to do a pre-emptive strike! i’m going to end it with her before it starts. my ass is like frozen! (closes the fridge.)"
2662," oh boy, i just love to sing!"," yes, i-i know that you do, but i think one of the reasons people were complaining though, was that they paid to hear the actor sing old man river."
2663,"oh, look at us! who would’ve thought that cupid had a station at 14th street nails. (does the laugh)"," (laughs) okay, we have to talk. i’m just getting out of a very serious relationship…"
2664," i know! and i’m just getting out of a marriage, i mean talk about meant to be!", right! i just think that this is happening too soon.
2665," oh, too soon, too schmoon. face it honey, i am not letting you get away this time."," i hear ya. (pause) but! unfortunately, my company is transferring me overseas!"
2666, oh no! where to? (gasps) too paris?," no! no! not, paris."
2667,"too london? no-no, rome? vienna? ooh-ooh, barcelona?"," okay, could you just stop talking for a second? (thinks) yemen. that’s right, yes, i’m being transferred to yemen!"
